,force
1180,664.0
1181,663.0
1182,663.0
1183,664.0
1184,663.0
1185,663.0
1186,664.0
1187,663.0
1188,663.0
1189,664.0
1190,663.0
1191,664.0
1192,664.0
1193,663.0
1194,664.0
1195,664.0
1196,663.0
1197,664.0
1198,663.0
1199,663.0
1200,664.0
1201,663.0
1202,663.0
1203,664.0
1204,663.0
1205,663.0
1206,664.0
1207,663.0
1208,663.0
1209,664.0
1210,663.0
1211,664.0
1212,663.0
1213,663.0
1214,664.0
1215,664.0
1216,663.0
1217,664.0
1218,663.0
1219,663.0
1220,664.0
1221,663.0
1222,663.0
1223,664.0
1224,663.0
1225,663.0
1226,664.0
1227,663.0
1228,663.0
1229,664.0
1230,663.0
1231,664.0
1232,663.0
1233,663.0
1234,664.0
1235,663.0
1236,663.0
1237,664.0
1238,663.0
1239,663.0
1240,664.0
1241,663.0
1242,663.0
1243,664.0
1244,663.0
1245,663.0
1246,664.0
1247,663.0
1248,663.0
1249,664.0
1250,663.0
1251,663.0
1252,664.0
1253,663.0
1254,664.0
1255,664.0
1256,663.0
1257,664.0
1258,664.0
1259,663.0
1260,664.0
1261,663.0
1262,663.0
1263,664.0
1264,663.0
1265,663.0
1266,664.0
1267,663.0
1268,663.0
1269,664.0
1270,663.0
1271,663.0
1272,664.0
1273,663.0
1274,663.0
1275,664.0
1276,663.0
1277,664.0
1278,663.0
1279,663.0
1280,664.0
1281,663.0
1282,663.0
1283,663.0
1284,663.0
1285,663.0
1286,664.0
1287,663.0
1288,663.0
1289,664.0
1290,663.0
1291,663.0
1292,664.0
1293,663.0
1294,664.0
1295,664.0
1296,663.0
1297,664.0
1298,663.0
1299,663.0
1300,664.0
1301,663.0
1302,663.0
1303,664.0
1304,663.0
1305,663.0
1306,664.0
1307,663.0
1308,664.0
1309,664.0
1310,663.0
1311,663.0
1312,663.0
1313,663.0
1314,664.0
1315,664.0
1316,663.0
1317,664.0
1318,663.0
1319,663.0
1320,664.0
1321,664.0
1322,663.0
1323,664.0
1324,663.0
1325,663.0
1326,664.0
1327,663.0
1328,663.0
1329,664.0
1330,663.0
1331,663.0
1332,664.0
1333,663.0
1334,664.0
1335,664.0
1336,663.0
1337,664.0
1338,663.0
1339,663.0
1340,664.0
1341,663.0
1342,663.0
1343,664.0
1344,663.0
1345,663.0
1346,664.0
1347,663.0
1348,663.0
1349,664.0
1350,663.0
1351,664.0
1352,664.0
1353,663.0
1354,664.0
1355,664.0
1356,663.0
1357,663.0
1358,664.0
1359,663.0
1360,664.0
1361,663.0
1362,663.0
1363,664.0
1364,663.0
1365,663.0
1366,664.0
1367,663.0
1368,663.0
1369,664.0
1370,664.0
1371,663.0
1372,664.0
1373,663.0
1374,663.0
1375,664.0
1376,663.0
1377,664.0
1378,664.0
1379,663.0
1380,664.0
1381,664.0
1382,663.0
1383,664.0
1384,663.0
1385,663.0
1386,664.0
1387,664.0
1388,663.0
1389,664.0
1390,663.0
1391,663.0
1392,664.0
1393,663.0
1394,664.0
1395,664.0
1396,663.0
1397,664.0
1398,663.0
1399,663.0
1400,664.0
1401,664.0
1402,663.0
1403,664.0
1404,664.0
1405,663.0
1406,664.0
1407,663.0
1408,663.0
1409,664.0
1410,663.0
1411,663.0
1412,664.0
1413,663.0
1414,663.0
1415,664.0
1416,663.0
1417,664.0
1418,664.0
1419,663.0
1420,663.0
1421,664.0
1422,663.0
1423,664.0
1424,664.0
1425,663.0
1426,664.0
1427,664.0
1428,663.0
1429,664.0
1430,663.0
1431,663.0
1432,664.0
1433,663.0
1434,663.0
1435,664.0
1436,663.0
1437,664.0
1438,664.0
1439,663.0
1440,664.0
1441,664.0
1442,663.0
1443,664.0
1444,664.0
1445,663.0
1446,664.0
1447,663.0
1448,663.0
1449,664.0
1450,663.0
1451,663.0
1452,664.0
1453,663.0
1454,663.0
1455,664.0
1456,663.0
1457,664.0
1458,663.0
1459,663.0
1460,664.0
1461,664.0
1462,663.0
1463,664.0
1464,663.0
1465,663.0
1466,664.0
1467,663.0
1468,663.0
1469,664.0
1470,663.0
1471,663.0
1472,664.0
1473,663.0
1474,663.0
1475,664.0
1476,663.0
1477,663.0
1478,664.0
1479,663.0
1480,664.0
1481,664.0
1482,663.0
1483,664.0
1484,664.0
1485,663.0
1486,664.0
1487,663.0
1488,663.0
1489,664.0
1490,663.0
1491,663.0
1492,664.0
1493,663.0
1494,663.0
1495,664.0
1496,663.0
1497,664.0
1498,664.0
1499,663.0
1500,664.0
1501,664.0
1502,663.0
1503,664.0
1504,664.0
1505,663.0
1506,663.0
1507,664.0
1508,663.0
1509,664.0
1510,664.0
1511,663.0
1512,664.0
1513,663.0
1514,663.0
1515,664.0
1516,663.0
1517,663.0
1518,664.0
1519,663.0
1520,663.0
1521,664.0
1522,663.0
1523,663.0
1524,664.0
1525,663.0
1526,664.0
1527,663.0
1528,663.0
1529,664.0
1530,663.0
1531,663.0
1532,664.0
1533,663.0
1534,663.0
1535,664.0
1536,663.0
1537,663.0
1538,664.0
1539,663.0
1540,663.0
1541,664.0
1542,663.0
1543,663.0
1544,663.0
1545,663.0
1546,664.0
1547,664.0
1548,663.0
1549,664.0
1550,663.0
1551,663.0
1552,664.0
1553,663.0
1554,663.0
1555,664.0
1556,663.0
1557,663.0
1558,664.0
1559,663.0
1560,663.0
1561,664.0
1562,663.0
1563,663.0
1564,664.0
1565,663.0
1566,664.0
1567,664.0
1568,663.0
1569,664.0
1570,663.0
1571,663.0
1572,664.0
1573,663.0
1574,663.0
1575,664.0
1576,663.0
1577,663.0
1578,664.0
1579,663.0
1580,663.0
1581,664.0
1582,663.0
1583,663.0
1584,663.0
1585,663.0
1586,663.0
1587,664.0
1588,663.0
1589,664.0
1590,663.0
1591,663.0
1592,663.0
1593,664.0
1594,663.0
1595,664.0
1596,663.0
1597,664.0
1598,664.0
1599,663.0
1600,663.0
1601,664.0
1602,663.0
1603,663.0
1604,664.0
1605,663.0
1606,664.0
1607,664.0
1608,663.0
1609,664.0
1610,663.0
1611,663.0
1612,664.0
1613,664.0
1614,663.0
1615,664.0
1616,663.0
1617,663.0
1618,664.0
1619,663.0
1620,663.0
1621,664.0
1622,663.0
1623,663.0
1624,664.0
1625,663.0
1626,663.0
1627,663.0
1628,663.0
1629,664.0
1630,663.0
1631,663.0
1632,663.0
1633,663.0
1634,663.0
1635,664.0
1636,663.0
1637,663.0
1638,664.0
1639,663.0
1640,663.0
1641,664.0
1642,663.0
1643,663.0
1644,664.0
1645,663.0
1646,663.0
1647,664.0
1648,663.0
1649,664.0
1650,663.0
1651,663.0
1652,664.0
1653,663.0
1654,663.0
1655,663.0
1656,663.0
1657,663.0
1658,664.0
1659,663.0
1660,663.0
1661,664.0
1662,663.0
1663,663.0
1664,664.0
1665,663.0
1666,664.0
1667,664.0
1668,663.0
1669,664.0
1670,664.0
1671,663.0
1672,664.0
1673,663.0
1674,663.0
1675,664.0
1676,663.0
1677,663.0
1678,664.0
1679,663.0
1680,663.0
1681,664.0
1682,663.0
1683,663.0
1684,663.0
1685,663.0
1686,663.0
1687,664.0
1688,663.0
1689,663.0
1690,664.0
1691,663.0
1692,663.0
1693,663.0
1694,663.0
1695,664.0
1696,663.0
1697,663.0
1698,664.0
1699,663.0
1700,663.0
1701,664.0
1702,663.0
1703,663.0
1704,664.0
1705,663.0
1706,664.0
1707,664.0
1708,663.0
1709,663.0
1710,664.0
1711,663.0
1712,663.0
1713,663.0
1714,663.0
1715,663.0
1716,663.0
1717,663.0
1718,663.0
1719,663.0
1720,663.0
1721,664.0
1722,663.0
1723,663.0
1724,664.0
1725,663.0
1726,663.0
1727,664.0
1728,663.0
1729,664.0
1730,664.0
1731,663.0
1732,663.0
1733,663.0
1734,663.0
1735,664.0
1736,663.0
1737,663.0
1738,664.0
1739,663.0
1740,663.0
1741,664.0
1742,663.0
1743,663.0
1744,664.0
1745,663.0
1746,663.0
1747,664.0
1748,663.0
1749,663.0
1750,663.0
1751,663.0
1752,664.0
1753,664.0
1754,663.0
1755,663.0
1756,663.0
1757,663.0
1758,663.0
1759,663.0
1760,663.0
1761,664.0
1762,663.0
1763,663.0
1764,664.0
1765,663.0
1766,663.0
1767,664.0
1768,663.0
1769,663.0
1770,663.0
1771,663.0
1772,664.0
1773,664.0
1774,663.0
1775,664.0
1776,663.0
1777,663.0
1778,663.0
1779,663.0
1780,663.0
1781,664.0
1782,663.0
1783,663.0
1784,664.0
1785,663.0
1786,663.0
1787,664.0
1788,663.0
1789,664.0
1790,664.0
1791,663.0
1792,663.0
1793,663.0
1794,663.0
1795,663.0
1796,664.0
1797,663.0
1798,664.0
1799,663.0
1800,663.0
1801,664.0
1802,663.0
1803,663.0
1804,664.0
1805,663.0
1806,663.0
1807,664.0
1808,663.0
1809,663.0
1810,664.0
1811,663.0
1812,663.0
1813,663.0
1814,663.0
1815,664.0
1816,664.0
1817,663.0
1818,664.0
1819,663.0
1820,663.0
1821,664.0
1822,663.0
1823,663.0
1824,664.0
1825,663.0
1826,663.0
1827,664.0
1828,663.0
1829,663.0
1830,664.0
1831,663.0
1832,663.0
1833,663.0
1834,663.0
1835,664.0
1836,663.0
1837,663.0
1838,663.0
1839,663.0
1840,663.0
1841,664.0
1842,663.0
1843,663.0
1844,664.0
1845,663.0
1846,663.0
1847,663.0
1848,663.0
1849,663.0
1850,664.0
1851,663.0
1852,663.0
1853,664.0
1854,663.0
1855,663.0
1856,664.0
1857,663.0
1858,664.0
1859,664.0
1860,663.0
1861,664.0
1862,663.0
1863,663.0
1864,664.0
1865,663.0
1866,663.0
1867,664.0
1868,663.0
1869,663.0
1870,664.0
1871,663.0
1872,663.0
1873,664.0
1874,663.0
1875,663.0
1876,664.0
1877,662.0
1878,663.0
1879,664.0
1880,663.0
1881,664.0
1882,663.0
1883,662.0
1884,663.0
1885,663.0
1886,663.0
1887,664.0
1888,663.0
1889,663.0
1890,664.0
1891,663.0
1892,663.0
1893,664.0
1894,663.0
1895,664.0
1896,663.0
1897,663.0
1898,663.0
1899,663.0
1900,663.0
1901,664.0
1902,663.0
1903,663.0
1904,664.0
1905,663.0
1906,663.0
1907,664.0
1908,663.0
1909,663.0
1910,664.0
1911,663.0
1912,663.0
1913,664.0
1914,663.0
1915,663.0
1916,664.0
1917,663.0
1918,664.0
1919,663.0
1920,663.0
1921,663.0
1922,663.0
1923,663.0
1924,664.0
1925,663.0
1926,663.0
