,emg
1188,-51814
1189,-54209
1190,-54513
1191,-53129
1192,-50776
1193,-47579
1194,-44982
1195,-44083
1196,-45196
1197,-47970
1198,-51849
1199,-54395
1200,-54295
1201,-53311
1202,-50998
1203,-47241
1204,-44961
1205,-44594
1206,-46149
1207,-48779
1208,-51854
1209,-53879
1210,-54147
1211,-53217
1212,-50912
1213,-47176
1214,-44760
1215,-44201
1216,-45620
1217,-47944
1218,-50841
1219,-53704
1220,-54288
1221,-52926
1222,-50366
1223,-46971
1224,-45413
1225,-44732
1226,-45508
1227,-47992
1228,-51274
1229,-53677
1230,-54302
1231,-52861
1232,-50228
1233,-47151
1234,-44697
1235,-43991
1236,-44512
1237,-47602
1238,-51359
1239,-53593
1240,-54074
1241,-52628
1242,-49967
1243,-47076
1244,-44900
1245,-44059
1246,-45135
1247,-48148
1248,-51065
1249,-53134
1250,-53787
1251,-52702
1252,-50033
1253,-46610
1254,-44624
1255,-44232
1256,-45416
1257,-48164
1258,-51196
1259,-53241
1260,-53692
1261,-52407
1262,-49954
1263,-47142
1264,-44684
1265,-43751
1266,-45074
1267,-47959
1268,-51232
1269,-53767
1270,-54257
1271,-52636
1272,-49905
1273,-46846
1274,-44489
1275,-43886
1276,-45281
1277,-47717
1278,-50946
1279,-53514
1280,-53994
1281,-52667
1282,-50237
1283,-47178
1284,-44617
1285,-44059
1286,-45109
1287,-47746
1288,-51134
1289,-53773
1290,-54094
1291,-52719
1292,-50024
1293,-47135
1294,-45109
1295,-44226
1296,-45079
1297,-47970
1298,-51628
1299,-53933
1300,-54233
1301,-52765
1302,-50222
1303,-47240
1304,-45206
1305,-44537
1306,-45276
1307,-47477
1308,-51075
1309,-54230
1310,-54819
1311,-53097
1312,-49991
1313,-46712
1314,-44655
1315,-44570
1316,-45743
1317,-48649
1318,-51738
1319,-54176
1320,-54849
1321,-53374
1322,-50883
1323,-47629
1324,-45332
1325,-44982
1326,-46404
1327,-48590
1328,-51734
1329,-53749
1330,-54357
1331,-53652
1332,-51306
1333,-47834
1334,-45244
1335,-44607
1336,-45861
1337,-48538
1338,-51905
1339,-54067
1340,-54666
1341,-53280
1342,-50723
1343,-47720
1344,-45707
1345,-45029
1346,-45905
1347,-48546
1348,-51766
1349,-53882
1350,-54462
1351,-53504
1352,-50884
1353,-47506
1354,-45146
1355,-44650
1356,-45891
1357,-48801
1358,-51822
1359,-54057
1360,-54514
1361,-53722
1362,-51083
1363,-47616
1364,-45121
1365,-44508
1366,-45727
1367,-48797
1368,-51992
1369,-54149
1370,-54679
1371,-53427
1372,-50798
1373,-47582
1374,-45175
1375,-44503
1376,-45686
1377,-48716
1378,-51779
1379,-53931
1380,-54447
1381,-53204
1382,-50584
1383,-47421
1384,-44955
1385,-44513
1386,-45794
1387,-48396
1388,-51288
1389,-53359
1390,-54895
1391,-54253
1392,-51237
1393,-47519
1394,-44566
1395,-44400
1396,-46074
1397,-48486
1398,-51682
1399,-53984
1400,-54132
1401,-52404
1402,-49562
1403,-46470
1404,-45239
1405,-44662
1406,-45357
1407,-48169
1408,-51391
1409,-53600
1410,-54215
1411,-52905
1412,-50340
1413,-47044
1414,-44774
1415,-44234
1416,-45405
1417,-47946
1418,-51202
1419,-53536
1420,-53946
1421,-52521
1422,-49788
1423,-46623
1424,-44996
1425,-44369
1426,-45297
1427,-47828
1428,-51123
1429,-53586
1430,-54088
1431,-52398
1432,-49484
1433,-46367
1434,-44631
1435,-44974
1436,-45879
1437,-47902
1438,-51144
1439,-53558
1440,-53852
1441,-52329
1442,-49592
1443,-46414
1444,-44728
1445,-44477
1446,-45797
1447,-48129
1448,-51274
1449,-53694
1450,-54135
1451,-52686
1452,-50089
1453,-46555
1454,-44189
1455,-43946
1456,-45348
1457,-47765
1458,-51042
1459,-53627
1460,-53896
1461,-52279
1462,-49948
1463,-46842
1464,-44525
1465,-43874
1466,-45119
1467,-47879
1468,-51072
1469,-53514
1470,-54114
1471,-52908
1472,-50019
1473,-46451
1474,-44345
1475,-43721
1476,-45040
1477,-48081
1478,-51341
1479,-53197
1480,-53600
1481,-52663
1482,-50046
1483,-46735
1484,-44354
1485,-43843
1486,-45266
1487,-47952
1488,-51241
1489,-53537
1490,-53701
1491,-52441
1492,-50002
1493,-46779
1494,-44479
1495,-43469
1496,-44719
1497,-47803
1498,-50877
1499,-53022
1500,-53974
1501,-52946
